id,institution,sex,age,year,cycle,field,income,genai_freq,use_writing,use_summarising,use_brainstorm,use_translation,use_coding,use_explaining,use_questions,use_homework,anx1,anx2,anx3,anx4,anx5,anxiety,se1,se2,se3,se4,se5,se6,se7,se8,selfeff,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,engage,who_i1,who_i2,who_i3,who_i4,who_i5,who5
R0125,IPP,F,25,2,BSc,STEM,3,4,0,1,1,1,0,0,0,0,3,2,4,2,4,2.12,7,6,7,7,6,6,7,7,5.93,6,5,7,5,4,5,6,5,5,5.92,3,5,4,5,4,86
R0126,UC,M,18,4,MSc,STEM,3,5,1,1,1,1,0,0,0,1,4,6,4,5,5,5.34,7,4,5,5,4,7,5,7,5.36,4,3,5,3,5,3,6,4,5,4.54,4,2,2,4,2,64
R0127,UC,M,18,3,MSc,Arts,3,1,0,0,0,0,0,0,0,0,2,3,2,1,2,2.08,6,7,5,7,6,7,6,6,6.93,4,6,4,6,4,5,5,5,6,5.38,2,3,3,3,4,60
R0128,UC,M,25,2,BSc,Arts,2,3,0,0,0,1,0,0,0,0,2,5,4,5,4,4.13,5,6,5,7,6,7,7,6,5.64,5,6,6,4,6,5,6,3,5,4.76,3,4,4,5,3,67
R0129,IPP,F,19,1,BSc,STEM,4,3,1,1,1,0,1,1,0,0,4,5,3,3,3,3.45,5,6,5,6,6,7,4,4,5.57,7,4,7,6,4,5,6,7,6,5.45,3,1,4,2,2,43
R0130,IPC,O,26,2,BSc,Health,4,1,0,0,0,0,0,0,0,0,3,2,3,2,1,2.62,5,4,4,5,5,6,6,4,4.7,5,5,3,4,6,3,3,5,4,4.56,4,3,3,3,3,69
R0131,IPV,F,25,2,MSc,Health,5,5,1,1,1,1,1,1,0,1,6,4,6,3,4,5.46,6,6,3,6,5,5,6,3,5.02,6,7,7,7,6,6,4,6,4,5.71,4,3,3,3,4,58
R0132,IPC,M,18,3,BSc,STEM,2,4,1,1,1,0,0,1,0,0,5,4,5,7,5,4.67,6,6,7,4,4,4,7,6,5.71,4,1,4,1,4,1,2,2,4,3.22,2,4,4,2,2,50
R0133,IPP,F,19,3,BSc,STEM,3,4,0,0,0,0,0,0,0,0,7,5,6,5,4,6.06,5,5,5,4,4,5,5,5,4.21,6,5,7,6,6,6,6,5,4,5.37,4,5,5,4,4,85
R0134,IPP,M,25,3,BSc,SocSci,3,5,1,0,0,1,1,0,0,0,4,5,6,3,5,5.12,4,5,5,6,5,4,6,7,5.49,4,3,3,5,6,5,4,4,4,4.95,3,2,3,3,4,64
R0135,IPC,F,19,2,BSc,Health,2,4,1,1,1,0,0,1,0,0,2,1,2,1,3,2.35,6,6,5,5,4,5,6,5,5.2,6,4,7,5,3,5,4,5,5,4.38,1,3,4,2,4,57
R0136,IPP,M,19,2,BSc,STEM,3,5,1,1,1,0,1,1,0,1,5,6,4,5,5,5.53,4,4,1,3,3,4,3,5,2.91,1,2,2,1,4,1,1,1,1,1.0,3,1,1,2,0,32
R0137,IPC,M,19,2,BSc,STEM,3,5,1,1,1,0,0,1,0,0,4,5,2,6,5,4.93,5,6,5,5,7,6,5,4,5.44,6,5,4,7,4,4,4,7,7,5.26,4,4,5,4,4,85
R0138,UC,F,19,2,MSc,SocSci,3,5,1,1,1,0,0,0,1,0,7,5,6,7,5,6.03,3,2,1,2,3,3,3,2,2.93,5,2,5,5,2,5,6,5,4,4.32,3,3,3,4,1,65
R0139,IPC,F,25,3,BSc,STEM,5,5,1,1,0,0,0,0,1,1,5,4,4,5,7,6.27,5,5,3,2,2,3,4,3,3.86,2,3,2,5,2,3,2,3,3,3.16,1,2,3,2,4,49
R0140,IPP,F,18,1,BSc,Arts,3,5,1,0,1,1,1,1,1,0,7,7,7,7,6,6.75,3,4,2,2,3,1,2,1,2.68,2,4,3,3,4,5,4,3,3,3.41,3,1,4,1,2,41
R0141,IPV,M,28,5,Other,SocSci,3,4,1,1,0,0,1,1,0,0,3,3,6,3,5,3.25,4,5,7,5,5,2,4,3,5.2,4,4,4,4,4,3,3,6,5,4.4,1,3,2,2,2,43
R0142,IPP,F,19,1,BSc,STEM,4,5,1,1,0,0,0,1,1,0,5,4,5,4,6,4.3,3,6,4,6,4,3,4,3,3.57,4,4,4,2,4,3,2,3,2,3.61,3,2,2,0,2,32
R0143,IPP,F,19,1,BSc,STEM,4,4,1,1,0,1,0,0,0,0,7,5,6,3,4,5.26,4,3,6,6,6,4,2,4,4.74,6,5,6,4,5,6,6,7,4,5.17,4,5,5,5,4,91
R0144,IPC,M,19,1,BSc,STEM,2,1,0,0,0,0,0,0,0,0,4,5,7,6,5,5.49,2,4,3,2,4,4,5,2,2.9,4,3,2,5,3,5,2,4,3,3.18,3,3,1,1,1,24
R0145,UC,F,19,2,BSc,STEM,5,5,1,1,0,1,0,0,0,0,5,6,5,5,6,5.48,4,5,3,4,6,4,2,4,4.37,4,6,3,6,4,4,5,6,5,4.57,3,3,3,3,3,67
R0146,UC,M,31,2,BSc,STEM,4,4,1,1,1,1,0,1,0,0,2,4,4,2,3,3.82,5,5,5,5,6,3,4,5,4.96,5,3,4,2,4,4,5,2,5,4.46,3,3,2,3,2,59
R0147,IPC,F,25,3,BSc,SocSci,2,4,0,0,1,0,1,1,0,0,7,7,5,5,4,5.98,4,4,5,6,5,2,5,3,4.26,5,4,2,3,4,5,5,4,5,3.83,2,2,5,2,3,50
R0148,IPC,M,18,1,BSc,STEM,4,3,1,1,0,0,0,0,0,0,2,4,1,2,1,2.09,6,7,7,7,6,6,7,6,6.65,5,6,6,7,4,7,5,7,6,5.5,4,5,5,5,5,98
R0149,IPP,F,27,2,BSc,STEM,4,4,0,0,1,0,0,0,1,1,4,5,3,5,5,4.19,5,3,2,2,4,2,4,1,2.93,3,6,3,3,4,4,4,4,6,4.03,3,2,4,3,0,41
R0150,UC,M,19,3,BSc,STEM,2,4,1,0,0,1,0,0,0,1,2,5,4,4,4,3.46,6,7,4,5,5,6,7,7,6.17,6,6,7,5,6,4,6,7,6,5.92,3,4,4,5,4,63
R0151,IPV,M,19,3,BSc,Health,2,4,0,0,0,0,1,0,0,0,6,5,6,6,6,5.99,5,3,3,5,3,5,4,5,4.77,7,7,3,7,5,4,3,2,4,4.87,3,2,2,3,4,52
R0152,UC,M,25,2,BSc,STEM,5,4,0,0,0,0,1,0,0,0,6,5,4,6,6,5.07,6,4,7,4,7,6,6,7,6.39,4,7,6,6,5,7,6,6,5,5.21,4,3,3,3,3,71
R0153,IPC,F,26,1,BSc,STEM,2,5,1,0,0,1,1,1,0,0,3,4,5,4,7,5.36,5,3,5,5,2,3,5,5,4.73,4,5,4,4,2,3,6,4,4,3.44,2,2,1,3,2,41
R0154,IPP,F,19,3,BSc,Health,4,4,0,1,1,0,0,0,1,1,4,4,5,5,4,5.05,4,4,4,2,4,3,5,4,3.5,6,6,7,6,5,4,5,5,4,5.4,3,2,2,4,3,58
R0155,IPV,M,19,1,BSc,SocSci,3,3,1,1,0,0,0,0,0,0,1,1,1,1,4,2.22,6,7,5,6,7,6,7,6,6.48,2,2,4,4,5,2,4,3,3,4.07,1,1,1,0,1,39
R0156,IPP,F,25,2,MSc,STEM,4,4,1,1,1,0,1,0,0,0,3,4,4,2,2,2.86,5,6,6,5,5,5,5,5,5.27,6,7,6,5,5,6,7,6,7,6.2,3,2,3,3,5,59
R0157,IPC,F,18,1,BSc,SocSci,3,3,0,1,0,0,1,0,0,1,2,3,3,2,3,3.93,5,4,2,3,3,5,4,3,3.6,3,3,3,3,2,4,5,2,2,2.91,2,4,3,3,1,55
R0158,UC,F,25,3,BSc,STEM,3,2,0,0,0,0,0,0,0,0,1,1,1,2,2,1.6,7,6,7,7,7,7,7,6,7.0,7,5,7,6,6,3,6,6,7,6.25,4,3,4,3,5,78
R0159,UC,M,18,2,BSc,STEM,3,4,1,1,0,0,1,1,1,1,1,2,2,3,4,1.86,5,4,4,4,5,6,4,5,4.81,4,6,5,6,5,5,7,5,5,5.24,3,2,2,0,2,36
R0160,IPV,F,30,2,BSc,STEM,3,5,1,1,0,0,1,0,0,1,4,6,4,4,4,4.94,6,6,5,5,6,4,6,4,5.2,4,3,3,3,4,5,3,2,2,3.15,2,3,2,1,3,50
R0161,IPC,F,27,1,BSc,STEM,4,4,0,0,0,0,1,1,0,0,2,4,4,3,2,2.05,7,6,6,6,7,6,4,7,5.34,5,3,2,3,5,3,3,4,3,3.13,1,2,2,2,0,34
R0162,UC,F,25,1,BSc,STEM,4,4,1,0,0,1,1,0,0,0,3,1,3,3,4,3.0,5,5,6,6,4,4,5,4,4.67,3,3,3,6,4,3,2,3,3,3.35,3,3,4,5,4,69
R0163,UC,M,27,1,BSc,SocSci,2,4,1,1,1,0,1,1,1,0,3,2,4,5,1,3.57,4,3,5,4,5,3,3,5,3.99,3,2,2,5,1,2,2,2,3,2.55,2,1,3,3,5,70
R0164,UC,F,25,5,BSc,STEM,5,5,1,1,0,0,0,1,0,1,6,5,7,6,7,6.17,7,3,4,6,5,3,3,4,4.57,5,5,4,4,6,5,3,5,2,5.05,2,3,4,5,2,73
R0165,UC,F,26,2,BSc,Health,2,4,1,0,1,1,0,0,1,0,7,6,5,4,5,4.59,7,7,6,7,6,7,7,5,6.69,6,7,7,5,6,6,7,7,7,6.66,5,2,4,4,2,63
R0166,UC,O,19,3,BSc,STEM,2,5,1,1,1,1,0,1,0,0,1,5,4,3,2,3.19,4,6,3,5,5,6,4,5,4.7,4,4,6,7,7,5,7,5,6,5.43,2,2,4,2,2,64
R0167,UC,M,34,3,BSc,Health,2,5,1,1,1,1,1,1,0,0,7,5,5,3,4,4.47,5,2,3,4,5,3,5,4,4.47,2,4,4,5,4,4,2,4,3,3.89,1,2,3,3,4,50
R0168,UC,F,26,4,BSc,STEM,4,5,1,1,1,1,1,1,1,0,5,5,3,7,6,4.23,7,7,7,6,7,7,6,5,5.88,6,5,5,5,4,7,4,5,3,4.58,5,4,3,4,4,82
R0169,UC,M,26,4,BSc,SocSci,3,4,1,1,0,0,1,0,0,0,4,3,2,3,3,3.82,4,6,7,5,5,7,5,7,5.42,6,5,4,4,6,5,5,3,3,4.13,3,5,5,4,2,76
R0170,UC,F,25,3,BSc,SocSci,4,5,1,1,1,1,1,0,1,0,3,4,4,4,3,2.53,5,7,4,3,3,5,3,5,4.51,6,5,5,7,5,7,5,6,6,5.91,1,3,3,5,5,65
R0171,IPV,F,28,1,BSc,STEM,2,4,0,1,1,0,0,0,0,0,7,6,7,7,7,6.96,2,3,2,4,2,4,5,3,3.3,4,3,4,2,4,2,6,3,4,3.05,3,2,1,2,1,32
R0172,IPC,M,19,1,BSc,STEM,3,2,1,0,0,0,0,0,0,0,1,2,1,1,1,1.23,7,6,7,7,7,7,7,6,6.67,3,5,4,3,4,2,3,5,5,3.53,4,4,2,3,4,64
R0173,UC,M,25,1,BSc,Health,4,5,1,1,1,1,1,0,1,1,4,6,4,3,6,5.16,5,5,3,6,2,6,2,4,4.81,5,4,5,4,4,4,6,5,6,4.73,3,2,3,3,2,65
R0174,UC,M,18,2,BSc,Health,4,4,1,1,1,1,1,1,0,0,4,7,5,3,5,3.99,4,6,6,6,6,6,5,5,4.98,5,7,7,6,6,5,7,7,6,6.09,4,3,4,5,4,80
R0175,IPP,F,19,1,BSc,Health,3,4,0,1,0,0,0,0,1,1,6,6,6,5,7,5.29,5,4,5,6,3,5,6,7,5.14,4,4,6,6,4,4,5,5,4,5.47,2,1,1,2,2,35
R0176,IPV,F,19,3,MSc,SocSci,2,5,1,1,1,1,0,1,0,0,7,7,6,6,5,5.82,3,5,6,5,5,5,4,6,4.81,3,5,3,5,5,5,5,5,4,3.72,1,0,1,0,3,32
R0177,UC,M,26,1,MSc,STEM,2,5,1,1,1,1,0,1,0,0,5,4,5,4,4,4.06,5,6,6,4,4,3,4,3,4.34,6,4,4,5,6,4,5,5,7,4.42,0,2,2,1,1,19
R0178,UC,F,18,1,BSc,Health,2,5,1,1,1,0,1,1,1,1,5,7,6,6,5,5.56,3,4,4,2,5,4,4,6,4.39,6,4,5,3,7,5,5,6,5,5.29,2,1,3,2,1,36
R0179,UC,F,19,4,BSc,SocSci,2,4,0,0,0,1,1,1,0,1,4,4,5,4,5,3.78,5,3,4,2,3,4,5,6,4.08,7,4,7,6,5,6,5,4,6,5.49,4,4,5,4,5,91
R0180,IPV,F,18,3,MSc,STEM,3,4,1,0,0,1,1,0,0,0,4,6,2,4,2,3.6,5,4,4,3,4,4,4,2,3.83,4,4,5,6,3,4,5,5,4,4.29,2,1,5,5,2,70
R0181,IPC,F,25,2,BSc,STEM,2,4,0,0,0,1,0,0,1,1,4,2,2,3,4,3.4,4,4,6,4,4,6,4,7,5.31,4,7,3,4,3,2,5,4,4,4.16,3,2,2,2,1,38
R0182,IPC,M,19,5,MSc,SocSci,4,5,1,1,1,1,1,0,0,0,7,7,7,6,6,6.18,4,5,5,6,5,5,4,4,3.84,5,4,3,3,2,3,4,4,4,3.95,2,2,2,2,1,40
R0183,IPC,M,25,1,Other,STEM,3,2,0,0,0,0,0,0,0,0,3,5,5,5,3,4.12,4,5,4,5,3,7,4,2,4.18,4,3,3,3,3,3,3,3,3,3.23,4,3,4,1,3,77
R0184,IPV,M,18,1,BSc,Arts,4,5,1,0,0,1,1,0,1,0,5,4,7,6,6,6.19,5,4,7,6,7,7,5,7,5.88,3,3,2,5,3,3,2,3,3,3.93,3,5,4,3,5,69
R0185,IPP,F,27,1,BSc,SocSci,4,4,1,0,1,1,0,0,0,0,5,7,7,7,5,5.98,2,5,5,3,2,3,2,1,2.84,4,4,2,3,3,4,4,4,3,3.27,3,3,3,3,3,63
R0186,IPV,M,27,3,MSc,Health,2,4,1,0,1,0,0,0,0,0,1,2,1,3,2,1.57,5,7,5,7,6,6,5,5,5.81,4,3,6,4,6,6,5,7,6,4.89,4,4,3,2,4,87
R0187,UC,M,18,1,BSc,SocSci,2,5,1,1,0,0,0,1,0,0,7,6,7,7,7,6.67,3,1,2,4,3,2,3,3,2.4,3,3,2,4,3,4,2,5,1,3.2,0,1,0,0,2,11
R0188,IPC,M,25,4,MSc,Health,4,4,0,1,0,0,1,1,0,0,5,2,3,1,5,2.52,5,5,4,6,4,4,5,7,4.58,4,6,5,4,4,6,5,3,4,4.62,4,5,3,4,4,59
R0189,UC,F,29,3,MSc,STEM,3,1,0,0,0,0,0,0,0,0,2,5,3,2,3,2.07,7,6,7,6,5,5,6,7,5.94,3,5,6,5,7,5,6,5,4,4.95,1,2,3,4,2,62
R0190,UC,M,26,2,BSc,STEM,2,5,1,1,0,1,1,1,1,1,6,7,6,6,4,5.28,5,5,5,6,6,6,6,5,5.11,7,5,6,5,4,6,5,6,7,5.47,1,2,0,2,2,43
R0191,UC,M,20,4,MSc,STEM,3,4,0,1,1,0,0,0,0,0,4,4,4,6,5,4.41,6,6,4,5,4,3,4,4,4.28,5,6,5,4,5,5,6,4,5,4.61,4,5,4,4,3,81
R0192,IPC,F,19,2,MSc,STEM,4,4,1,0,0,1,1,0,1,0,4,6,4,5,4,3.87,7,6,7,5,6,6,7,6,6.14,6,6,4,7,4,6,4,6,6,5.5,3,3,2,4,4,57
R0193,IPV,F,19,2,BSc,STEM,3,4,0,1,1,1,0,0,0,0,2,3,3,3,2,2.78,7,7,7,6,7,7,7,7,7.0,7,7,7,7,5,7,7,7,7,7.0,3,5,4,5,5,96
R0194,IPP,M,19,2,BSc,SocSci,3,5,1,0,0,0,1,0,0,0,5,3,5,5,6,5.25,4,6,5,7,3,6,6,6,5.06,5,4,6,6,4,5,5,4,6,5.0,3,3,3,1,3,65
R0195,IPV,F,25,4,BSc,SocSci,2,4,0,1,0,0,0,1,0,0,3,1,2,4,1,2.09,6,7,7,7,5,7,5,7,6.11,5,6,7,5,5,7,6,6,7,6.14,5,4,4,4,5,84
R0196,IPC,M,18,3,BSc,SocSci,4,4,0,1,0,1,1,0,0,1,6,7,5,7,7,6.37,1,5,5,5,4,3,3,4,3.3,4,5,4,3,4,3,5,5,4,4.08,2,2,1,2,3,44
R0197,IPP,F,19,3,MSc,STEM,3,2,0,0,1,0,1,1,0,0,3,4,1,6,2,2.53,4,4,5,6,4,6,6,6,5.11,3,4,4,4,5,3,1,4,4,3.99,4,4,4,4,4,65
R0198,IPP,F,20,2,BSc,SocSci,3,4,1,0,1,0,0,1,1,0,7,5,7,6,5,5.06,5,7,7,5,5,5,7,5,5.89,4,3,4,3,3,4,3,4,5,3.27,4,4,2,4,4,65
R0199,UC,F,29,2,BSc,Health,3,4,1,0,1,0,0,0,0,0,3,5,5,5,4,3.94,2,4,6,4,3,2,3,1,4.07,5,4,4,6,5,6,4,6,6,5.35,3,4,3,3,4,68
R0200,IPP,F,26,1,BSc,STEM,2,4,0,1,1,0,0,0,0,1,6,4,6,5,3,4.34,6,5,5,7,6,6,6,7,5.88,5,3,4,5,5,5,4,5,4,4.86,3,2,1,3,5,67
R0201,IPC,M,28,3,MSc,SocSci,5,2,1,0,0,0,0,0,0,0,3,4,3,3,4,3.63,7,7,7,7,6,7,7,7,6.95,7,6,3,7,7,4,7,5,4,6.14,4,4,3,4,5,78
R0202,UC,M,31,2,BSc,STEM,2,2,0,1,0,0,0,0,0,0,2,4,5,4,5,3.73,6,7,5,6,4,6,6,5,6.34,7,5,4,4,6,5,6,6,4,4.99,4,4,4,5,3,77
R0203,IPP,F,25,2,BSc,STEM,3,4,1,0,1,0,0,0,1,0,2,4,7,3,4,3.9,4,3,5,3,5,4,2,2,3.04,2,6,6,4,6,3,4,4,4,3.81,2,2,3,4,2,60
R0204,IPV,F,20,4,MSc,STEM,4,5,1,1,0,0,0,1,0,0,2,1,1,1,1,2.01,7,4,6,7,5,6,4,5,5.25,3,1,3,4,1,2,2,5,3,2.8,2,4,2,1,2,57
R0205,IPC,M,25,2,BSc,Health,4,2,0,0,0,0,0,1,0,0,2,3,4,1,4,3.39,7,7,5,5,7,7,7,6,6.65,4,5,4,6,4,6,7,6,5,5.13,4,4,1,3,3,56
R0206,IPC,F,29,2,MSc,STEM,3,5,1,1,0,0,0,1,0,1,6,7,7,7,5,6.29,5,4,5,5,6,3,4,5,4.71,6,6,4,5,3,5,4,3,5,4.24,3,2,4,2,4,48
R0207,IPP,M,20,2,BSc,SocSci,3,1,0,0,0,1,0,0,0,0,3,4,2,3,2,3.47,7,2,4,6,5,5,6,5,4.51,5,4,4,4,5,7,4,6,6,4.25,5,4,5,5,4,75
R0208,IPP,M,18,1,BSc,SocSci,3,4,1,1,0,1,1,0,0,0,4,5,5,3,3,3.18,7,5,6,5,6,7,6,5,6.1,4,5,5,5,7,7,6,4,5,5.7,2,4,5,2,5,63
R0209,UC,M,28,4,BSc,Health,2,4,1,1,1,1,0,1,1,0,1,2,1,2,1,2.2,5,4,6,6,4,5,3,3,4.71,6,6,7,6,6,4,7,5,5,6.11,5,5,5,4,4,83
R0210,UC,F,29,1,BSc,STEM,3,5,1,1,1,1,0,0,0,0,4,3,6,5,5,5.11,5,4,3,6,3,6,4,4,4.42,3,7,6,7,5,6,6,7,5,5.9,3,2,1,1,2,40
R0211,IPP,F,25,1,BSc,STEM,3,5,1,1,1,0,0,1,1,0,4,4,5,6,6,4.89,3,4,3,2,3,1,3,4,3.03,5,1,3,5,4,3,3,2,3,2.94,3,3,2,3,1,29
R0212,IPV,M,19,1,BSc,Health,3,5,1,1,1,1,0,1,0,0,6,4,5,5,5,4.51,5,7,4,4,5,6,3,6,4.61,3,4,5,3,3,4,4,2,4,3.19,1,0,2,0,1,33
R0213,IPC,F,25,2,BSc,STEM,3,4,0,0,1,0,1,0,1,0,2,2,4,2,1,3.22,4,6,4,7,6,5,7,6,6.39,4,4,3,4,4,5,5,3,5,3.88,2,3,3,2,3,58
R0214,IPP,F,20,2,MSc,Arts,3,4,0,0,0,0,0,1,0,0,2,3,2,2,3,2.19,2,4,4,4,4,4,3,6,3.55,3,1,1,2,3,4,3,2,6,2.74,2,2,1,2,3,48
R0215,IPP,F,19,3,BSc,STEM,3,3,0,0,1,0,0,0,0,0,4,4,3,2,3,4.04,6,2,4,5,5,3,3,5,4.24,3,3,3,3,3,2,4,4,2,3.6,2,2,4,4,3,51
R0216,IPC,F,19,2,BSc,STEM,2,2,1,0,0,0,1,0,0,1,1,3,2,3,1,1.52,5,6,6,6,7,5,7,5,6.47,5,7,6,4,5,6,7,7,7,5.75,2,2,3,1,1,51
R0217,IPV,F,20,1,BSc,STEM,2,4,1,0,1,1,0,0,1,0,2,5,5,5,6,4.67,4,1,4,4,4,4,3,3,3.33,4,2,4,4,4,2,7,5,6,4.32,3,2,3,1,2,35
R0218,UC,M,19,1,BSc,STEM,2,4,0,1,0,0,0,1,0,1,3,3,3,5,4,3.26,3,5,3,5,5,4,4,5,3.97,3,3,3,3,3,2,4,1,4,2.77,3,5,3,1,3,66
R0219,IPP,M,19,1,BSc,Health,3,3,0,0,0,0,0,1,0,0,4,4,5,6,6,3.24,5,5,4,5,6,5,5,7,4.66,4,4,5,2,4,5,5,4,4,3.74,3,4,4,5,5,71
R0220,IPV,M,20,2,BSc,STEM,3,4,0,0,1,1,0,1,0,0,3,4,2,4,2,2.67,4,6,6,5,7,6,6,7,5.45,4,5,6,6,4,6,5,5,6,4.98,2,3,4,3,3,53
R0221,IPC,M,20,2,MSc,SocSci,4,4,0,0,0,1,0,0,1,0,5,4,6,4,6,4.88,4,5,6,7,7,7,7,4,6.52,5,4,4,6,5,4,4,5,5,4.62,3,3,3,2,3,56
R0222,IPV,F,18,2,BSc,STEM,2,1,0,0,0,0,1,0,0,0,2,3,2,1,1,1.05,7,7,4,7,7,5,7,7,7.0,3,5,5,5,5,6,7,5,7,5.66,3,5,5,4,5,92
R0223,IPC,F,26,4,BSc,STEM,4,5,1,0,1,0,0,1,0,0,3,5,5,4,4,3.93,4,3,4,3,5,5,4,4,3.74,2,3,2,2,3,2,3,2,3,2.55,2,2,2,2,2,41
R0224,UC,F,19,2,BSc,Arts,3,5,1,1,0,0,0,0,0,1,6,6,3,5,5,5.65,5,3,2,4,4,4,3,1,3.63,2,3,3,2,3,6,3,3,2,2.45,4,3,4,1,3,55
R0225,IPV,F,27,2,BSc,STEM,3,4,0,1,1,1,1,0,0,1,6,7,6,4,5,5.88,3,3,2,4,5,2,4,2,3.28,3,3,5,4,4,3,3,2,2,3.34,3,2,3,2,4,57
R0226,IPV,F,25,4,BSc,SocSci,2,5,1,1,1,0,0,0,0,1,4,3,4,4,6,4.83,6,7,5,5,5,7,6,6,6.57,5,4,3,6,4,5,5,5,3,4.71,5,5,5,4,3,79
R0227,IPC,F,19,4,BSc,STEM,2,3,0,1,1,0,0,0,0,1,5,4,6,6,5,4.95,4,4,4,6,2,3,6,4,4.51,4,5,6,6,5,4,3,3,6,4.54,2,2,2,1,1,57
R0228,UC,F,30,4,MSc,STEM,3,4,1,0,1,1,1,0,0,0,4,3,5,3,4,3.53,3,5,7,5,6,7,6,4,4.98,2,2,4,4,5,3,3,5,4,3.35,4,2,4,3,3,64
R0229,IPC,F,20,1,BSc,SocSci,3,4,1,0,0,1,0,0,0,0,6,4,6,3,6,4.56,3,5,2,3,4,5,4,4,3.33,6,5,4,6,3,5,3,5,6,4.17,3,2,2,1,2,50
R0230,UC,M,18,4,BSc,Arts,2,5,1,1,1,1,1,1,0,1,5,6,5,5,7,5.39,4,3,4,4,4,3,5,3,4.11,3,3,3,4,4,3,5,3,5,3.15,1,2,1,2,1,32
R0231,IPV,F,20,3,MSc,Health,3,2,1,0,0,0,0,0,0,1,3,7,3,3,3,4.66,3,6,3,4,4,5,4,4,4.07,1,4,3,1,3,2,3,2,4,2.89,3,3,0,2,0,43
R0232,UC,M,19,1,BSc,STEM,4,5,1,1,1,0,0,0,1,1,5,7,6,7,6,5.68,6,4,5,5,5,3,4,4,5.38,3,4,6,4,5,6,7,3,4,4.9,3,2,3,4,4,63
R0233,IPP,M,19,3,BSc,STEM,2,5,0,1,1,1,1,0,0,0,1,1,1,2,4,1.91,6,7,7,5,7,5,7,7,6.43,5,5,7,5,5,5,6,5,4,5.12,5,2,2,5,3,72
R0234,IPC,F,19,2,BSc,STEM,3,1,0,0,0,0,1,0,0,0,1,2,3,1,3,2.68,5,7,6,6,7,5,7,7,6.3,7,3,4,6,5,5,5,7,3,4.92,5,5,4,5,5,88
R0235,UC,M,19,1,BSc,Arts,3,4,1,1,1,0,0,0,0,0,1,5,4,3,1,3.47,6,5,5,7,7,6,6,7,5.94,4,4,5,3,4,6,5,4,4,5.52,2,4,3,5,2,58
R0236,UC,F,30,5,BSc,STEM,2,3,1,0,0,0,0,0,0,0,4,2,5,5,4,4.32,5,3,3,3,4,6,3,3,4.4,4,4,2,3,3,4,4,4,4,4.23,1,3,2,1,2,39
R0237,IPC,F,31,3,MSc,STEM,4,4,1,1,1,0,1,0,0,1,4,3,3,5,3,4.36,4,2,4,5,5,2,5,3,3.53,5,4,3,3,3,3,5,4,3,3.28,3,2,2,2,2,40
R0238,IPP,M,18,2,BSc,STEM,3,2,0,0,0,1,0,1,0,0,3,3,1,4,4,3.9,5,6,5,6,5,3,5,4,4.65,6,4,5,7,6,6,6,6,5,5.45,4,4,3,3,4,53
R0239,IPC,M,18,1,MSc,Health,3,5,1,1,0,1,1,1,0,0,4,6,3,4,5,5.2,4,3,4,1,3,2,3,4,2.85,3,2,1,3,4,3,3,3,3,3.16,2,1,3,1,2,24
R0240,IPC,M,28,3,BSc,Arts,2,4,0,1,0,0,1,0,1,0,5,5,3,4,5,3.99,7,6,4,6,5,4,4,5,4.73,6,6,5,5,5,6,6,6,4,5.4,2,2,3,4,5,59
R0241,IPV,F,19,1,BSc,SocSci,2,4,1,0,0,1,1,0,0,0,3,4,3,4,3,3.39,5,6,6,6,4,6,6,7,6.21,7,7,7,7,5,6,7,7,7,7.0,5,4,3,4,4,81
R0242,UC,F,19,1,MSc,SocSci,4,4,1,0,0,1,0,1,0,0,7,5,7,6,5,5.55,3,3,4,3,3,3,5,3,3.38,3,3,3,3,4,4,5,5,3,3.76,0,1,0,2,2,21
R0243,IPV,F,27,3,BSc,STEM,3,4,1,1,1,1,0,0,0,0,6,5,3,5,5,5.41,5,7,7,6,6,6,6,6,6.02,3,4,3,3,3,3,4,3,6,3.3,3,4,4,3,3,64
R0244,UC,F,20,3,BSc,SocSci,3,4,1,1,0,1,1,0,0,0,7,6,5,5,4,4.42,3,4,4,4,4,5,4,3,4.71,2,3,4,2,2,3,3,3,3,2.89,5,2,5,5,5,71
R0245,IPP,F,25,4,BSc,Health,3,3,0,1,0,1,1,0,0,0,4,4,3,4,4,4.03,5,4,4,5,4,4,5,5,4.9,4,3,7,7,6,7,7,6,7,6.02,2,1,3,2,4,51
R0246,IPP,M,19,2,BSc,STEM,3,3,0,1,0,0,0,0,0,0,1,1,2,1,1,1.79,7,7,7,7,7,6,6,7,6.77,7,7,7,5,6,7,7,7,6,7.0,5,1,2,5,4,54
R0247,IPP,F,18,2,BSc,STEM,4,4,1,1,1,0,1,0,0,1,6,6,5,6,7,5.25,2,6,5,4,4,4,4,5,4.96,7,7,7,5,6,7,7,5,4,5.94,4,4,5,3,2,73
R0248,UC,F,18,2,MSc,STEM,3,4,1,1,0,0,0,1,0,0,5,4,5,5,3,4.25,3,4,3,5,4,4,3,6,4.31,1,2,4,4,4,4,5,2,5,3.24,2,2,4,1,1,47
R0249,IPP,F,20,2,MSc,STEM,4,4,1,0,1,1,0,0,1,0,5,6,4,4,6,5.51,3,5,5,5,6,5,3,6,4.66,4,4,4,4,5,5,3,2,5,4.31,4,3,3,4,4,65
